task,round,rank,url,noise_class,queue,recorded,replayed_outcome,spend,health,content_verdict,coverage,prose_line,reason,gold
56,1,24,https://economics.mit.edu/sites/default/files/publications/paper_83_first_price_auctions%281%29.pdf,,19,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,1,16,https://pi.math.cornell.edu/~mec/Winter2009/Spulido/Auctions/english.html,,20,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,1,25,https://users.eecs.northwestern.edu/~hartline/papers/unique-bne-EC-13.pdf,,21,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,1,19,https://users.ssc.wisc.edu/~dquint/econ805%202007/econ%20805%20lecture%209.pdf,,22,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,2,2,https://www.cirje.e.u-tokyo.ac.jp/research/workshops/micro/documents/March20.pdf,,1,dead-refused,dead-refused,0,dead,n/a,0.0000,0,,false
56,2,1,https://capcp.la.psu.edu/wp-content/uploads/sites/11/2020/07/NumericalSolutions.pdf,,2,dead-refused,dead-refused,0,dead,n/a,0.0000,0,,false
56,2,3,https://www.uoguelph.ca/economics/repec/workingpapers/2015/2015-02.pdf,,3,dedup-refused,dedup-refused,0,dedup,n/a,0.0000,0,,false
56,2,4,https://python.quantecon.org/two_auctions.html,,4,fetched,admit,1,ok,admit,0.5517,837,,false
56,2,6,https://brocku.ca/repec/pdf/0504.pdf,,5,never-fetched,fetched-content-unknown,1,ok,content-unknown,0.0000,0,no recorded content,true
56,2,9,https://www.researchgate.net/publication/228319685_Linear_Bid_in_Asymmetric_First-Price_Auctions,,6,never-fetched,fetched-content-unknown,1,ok,content-unknown,0.0000,0,no recorded content,true
56,2,7,https://pi.math.cornell.edu/~mec/Winter2009/Spulido/Auctions/english.html,,7,never-fetched,fetched-content-unknown,1,ok,content-unknown,0.0000,0,no recorded content,false
56,2,8,https://kasberger.github.io/assets/pdf/fpa_robust.pdf,,8,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,true
56,3,1,https://www.ideals.illinois.edu/items/28947/bitstreams/97029/data.pdf,,1,failed,fetch-failed,1,binary,n/a,0.0000,0,fetch https://www.ideals.illinois.edu/items/28947/bitstreams/97029/data.pdf: Execution error: fetch https://www.ideals.illinois.edu/items/28947/bitstreams/97029/data.pdf: non-text payload (application/pdf) — binary content refused (would poison the evidence window),false
56,3,3,https://kylewoodward.com/blog-data/pdfs/references/armstrong-the-review-of-economic-studies-2000A.pdf,,2,failed,fetch-failed,1,binary,n/a,0.0000,0,fetch https://kylewoodward.com/blog-data/pdfs/references/armstrong-the-review-of-economic-studies-2000A.pdf: Execution error: fetch https://kylewoodward.com/blog-data/pdfs/references/armstrong-the-review-of-economic-studies-2000A.pdf: non-text payload (application/pdf) — binary content refused (would poison the evidence window),false
56,3,4,https://valueplan.wordpress.com/wp-content/uploads/2015/07/strategic-and-financial-bidders-in-takeover-auctions.pdf,,3,failed,fetch-failed,1,binary,n/a,0.0000,0,fetch https://valueplan.wordpress.com/wp-content/uploads/2015/07/strategic-and-financial-bidders-in-takeover-auctions.pdf: Execution error: fetch https://valueplan.wordpress.com/wp-content/uploads/2015/07/strategic-and-financial-bidders-in-takeover-auctions.pdf: non-text payload (application/pdf) — binary content refused (would poison the evidence window),false
56,3,2,https://users.ssc.wisc.edu/~dquint/econ698/lecture%206.pdf,,4,failed,fetch-failed,1,binary,n/a,0.0000,0,fetch https://users.ssc.wisc.edu/~dquint/econ698/lecture%206.pdf: Execution error: fetch https://users.ssc.wisc.edu/~dquint/econ698/lecture%206.pdf: non-text payload (application/pdf) — binary content refused (would poison the evidence window),false
56,3,9,https://www.chegg.com/homework-help/questions-and-answers/suppose-interested-bidding-piece-land-know-one-bidder-interested-seller-announced-highest--q119671261,,5,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,3,16,https://direct.mit.edu/rest/article/107/3/755/114759/Bidding-on-Price-and-Quality-An-Experiment-on-the,,6,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,3,5,https://www.filippremik.com/uploads/1/4/2/3/142331340/premik_jmp.pdf,,7,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,3,19,https://www.scribd.com/document/648536111/Buyer-s-optimal-information-revelation-strategy-in-procurement-auctions,,8,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,3,8,https://atlaspolicy.com/estimating-the-impacts-of-direct-to-consumer-electric-vehicle-sales,,9,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,3,11,https://arxiv.org/pdf/2202.07517,,10,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,3,13,https://www.anderson.ucla.edu/sites/default/files/document/2025-06/Modeling%20Bidder%20Risk%20Preferences%20to%20Optimize%20Auction%20Design.pdf,,11,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,3,18,https://economia.uniroma2.it/master-science/economics/corso/asset/YTo0OntzOjI6ImlkIjtzOjM6IjQyMSI7czozOiJpZGEiO3M6NDoiMTExMiI7czoyOiJlbSI7TjtzOjE6ImMiO3M6NToiMjRhMDciO30=,,12,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,3,14,https://www.aeaweb.org/conference/2023/program/paper/9HzFTrtZ,,13,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,3,17,https://milgrom.people.stanford.edu/wp-content/uploads/1985/03/Economics-Of-Competitive-Bidding.pdf,,14,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,3,10,https://eml.berkeley.edu/~mcfadden/eC103_f03/auctionlect.pdf,,15,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,true
56,3,7,http://www.econport.org/content/handbook/auctions/usefulconcepts/revequiv.html,,16,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
56,3,20,http://www.parisschoolofeconomics.com/compte-olivier/Chapter11Auctions.pdf,,17,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,11,https://europepmc.org/article/med/35235827,,1,never-fetched,fetched-content-unknown,1,ok,content-unknown,0.0000,0,no recorded content,false
58,1,51,https://www.biorxiv.org/content/10.1101/2022.07.26.501571.full,,2,never-fetched,fetched-content-unknown,1,ok,content-unknown,0.0000,0,no recorded content,false
58,1,58,https://www.cell.com/molecular-plant/fulltext/S1674-2052(22)00049-1,,3,never-fetched,fetched-content-unknown,1,ok,content-unknown,0.0000,0,no recorded content,false
58,1,65,https://www.researchgate.net/publication/400672249_Mechanisms_and_Research_Advances_of_Horizontal_Gene_Transfer_HGT_in_Plants_and_Microorganisms,,4,never-fetched,fetched-content-unknown,1,ok,content-unknown,0.0000,0,no recorded content,false
58,1,43,https://academic.oup.com/mbe/article/25/3/559/1060663,,5,never-fetched,fetched-content-unknown,1,ok,content-unknown,0.0000,0,no recorded content,false
58,1,74,https://pubmed.ncbi.nlm.nih.gov/18158322,,6,never-fetched,fetched-content-unknown,1,ok,content-unknown,0.0000,0,no recorded content,false
58,1,3,https://pmc.ncbi.nlm.nih.gov/articles/PMC3068243,,7,fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,12,https://pmc.ncbi.nlm.nih.gov/articles/PMC3493653,,8,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,14,https://www.researchgate.net/publication/232648417_Widespread_impact_of_horizontal_gene_transfer_on_plant_colonization_of_land,,9,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,44,http://mccutcheonlab.org/s/17_husnik_nrm.pdf,,10,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,47,https://www.mdpi.com/2413-4155/8/3/56,,11,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,50,http://mccutcheonlab.org/s/17_husnik_nrm.pdf,,12,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,57,https://pmc.ncbi.nlm.nih.gov/articles/PMC12448838,,13,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,60,https://www.sciencedirect.com/science/article/pii/S0022283625004693,,14,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,27,https://www.researchgate.net/publication/354845682_Variation_and_Evolution_of_Genome_Size_in_Gymnosperms,,15,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,28,https://reference-global.com/download/article/10.2478/sg-2021-0013.pdf,,16,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,32,https://europepmc.org/articles/pmc11530473?pdf=render,,17,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,66,https://pmc.ncbi.nlm.nih.gov/articles/PMC11530473,,18,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,4,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2024.1338026/full,,19,fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,1,https://en.wikipedia.org/wiki/Horizontal_gene_transfer,,20,fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,6,https://academic.oup.com/ismecommun/article/4/1/ycae073/7671050,,21,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,8,https://www.biorxiv.org/content/10.1101/2022.08.25.505314.full,,22,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,9,https://maxapress.com/data/article/tp/preview/pdf/TP-2023-0003.pdf,,23,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,10,https://www.mdpi.com/2075-1729/11/8/857,,24,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,15,https://thescholarship.ecu.edu/bitstreams/a19e875b-66b9-4fca-9ddc-585d665b3ab8/download,,25,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,17,https://genome.cshlp.org/content/24/5/831,,26,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,21,https://www.pnas.org/doi/10.1073/pnas.0907584106,,27,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,24,https://www.sciencedirect.com/science/article/pii/S1674205222000491,,28,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,26,https://dspace.mit.edu/entities/publication/23743508-c0b7-43a2-9bc1-03479aabe1c2,,29,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,48,https://www.nature.com/articles/s41559-024-02357-0,,30,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,54,https://www.the-innovation.org/article/doi/10.59717/j.xinn-life.2026.100223,,31,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,55,https://elifesciences.org/articles/25950,,32,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,59,https://www.science.org/doi/10.1126/sciadv.abj5056,,33,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,62,https://cgm.sjtu.edu.cn/hgt,,34,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,73,https://royalsocietypublishing.org/rspb/article/277/1683/819/73019/Horizontal-gene-transfer-in-evolution-facts-and,,35,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,75,https://enviromicro-journals.onlinelibrary.wiley.com/doi/full/10.1111/1462-2920.16629,,36,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,79,https://academic.oup.com/gbe/article/11/10/2750/5554466,,37,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,63,https://www.yourgenome.org/theme/timeline-the-past-present-and-future-of-sequencing-technologies,,38,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,31,https://www.sciencedirect.com/science/article/pii/S2590346226001227,,39,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,33,https://pmc.ncbi.nlm.nih.gov/articles/PMC9357157,,40,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,34,https://pubmed.ncbi.nlm.nih.gov/35853453,,41,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,35,https://www.cell.com/cell/fulltext/S0092-8674(22)00719-X?dgcid=raven_jbs_aip_email,,42,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,20,https://pmc.ncbi.nlm.nih.gov/articles/PMC5575156,,43,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,23,https://www.cd-genomics.com/resource-overview-plant-genomics-complexity-plant-genomes-functions.html,,44,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,7,https://www.technologynetworks.com/immunology/articles/horizontal-gene-transfer-meaning-methods-detection-and-outcomes-397911,,45,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,16,https://hal.science/hal-05307487/document,,46,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,19,https://en.wikipedia.org/wiki/Horizontal_gene_transfer,,47,fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,29,https://pmc.ncbi.nlm.nih.gov/articles/PMC4246719,,48,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,45,https://en.wikipedia.org/wiki/Horizontal_gene_transfer,,49,fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,52,https://en.wikipedia.org/wiki/Horizontal_gene_transfer,,50,fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,64,https://www.ebsco.com/research-starters/science/horizontal-gene-transfer,,51,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,76,https://link.springer.com/article/10.1186/s13059-018-1526-x,,52,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,77,https://prizedwriting.ucdavis.edu/horizontal-gene-transfer-between-host-eukaryotes-and-their-bacterial-endosymbionts-analyses-and,,53,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,80,https://research-repository.uwa.edu.au/files/31605052/49602.pdf,,54,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,18,https://academic.oup.com/gpb/article/22/5/qzae078/7876281,,55,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,68,https://nph.onlinelibrary.wiley.com/doi/10.1111/nph.19544,,56,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,49,https://pmc.ncbi.nlm.nih.gov/articles/PMC13320244,,57,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,69,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2018.00418/full,,58,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,78,https://iipseries.org/assets/docupload/rsl2024282E40CC887C896.pdf,,59,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,25,https://nph.onlinelibrary.wiley.com/doi/10.1111/nph.19272,,60,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,36,https://link.springer.com/article/10.1186/s12915-016-0264-3,,61,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,38,https://pmc.ncbi.nlm.nih.gov/articles/PMC4876562,,62,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,40,https://bmcbiol.biomedcentral.com/articles/10.1186/s12915-016-0264-3,,63,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,41,https://link.springer.com/10.1186/s12915-016-0264-3?fromPaywallRec=true,,64,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,72,https://www.researchgate.net/publication/313536848_Lateral_gene_transfer_between_prokaryotes_and_eukaryotes,,65,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,39,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2014.00638/xml/nlm?isPublishedV2=false,,66,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,56,https://www.sciencedaily.com/releases/2026/04/260416071953.htm,,67,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,30,https://bionumbers.hms.harvard.edu/bionumber.aspx?s=n&v=1&id=113543,,68,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,70,https://www.insect-genome.com/hgt,,69,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,71,https://microbiologyclass.net/glossary-of-microbiology,,70,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,5,https://www.embl.org/about/info/planetary-biology/projects/hgt,,71,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,1,42,https://en.wikipedia.org/wiki/Endosymbiont,,72,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,2,1,https://en.wikipedia.org/wiki/Horizontal_gene_transfer,,1,dedup-refused,dedup-refused,0,dedup,n/a,0.0000,0,,false
58,2,4,https://www.the-scientist.com/horizontal-gene-transfer-happens-more-often-than-anyone-thought-70118,,2,fetched,admit,1,ok,admit,0.3182,826,,false
58,2,3,https://pmc.ncbi.nlm.nih.gov/articles/PMC3068243,,3,dedup-refused,dedup-refused,0,dedup,n/a,0.0000,0,,false
58,2,2,https://bio.libretexts.org/Bookshelves/Introductory_and_General_Biology/General_Biology_(Boundless)/20%3A_Phylogenies_and_the_History_of_Life/20.03%3A_Perspectives_on_the_Phylogenetic_Tree/20.3B%3A_Horizontal_Gene_Transfer,,4,fetched,admit,1,ok,admit,0.2727,719,,false
58,2,9,https://www.mdpi.com/2073-4425/8/1/39,,5,never-fetched,fetched-content-unknown,1,ok,content-unknown,0.0000,0,no recorded content,false
58,2,22,https://www.pasteur.fr/en/research-journal/news/antibiotic-resistance-how-bacteria-become-resistant,,6,never-fetched,fetched-content-unknown,1,ok,content-unknown,0.0000,0,no recorded content,false
58,2,20,https://www.researchgate.net/publication/400672249_Mechanisms_and_Research_Advances_of_Horizontal_Gene_Transfer_HGT_in_Plants_and_Microorganisms,,7,never-fetched,fetched-content-unknown,1,ok,content-unknown,0.0000,0,no recorded content,false
58,2,5,https://www.biorxiv.org/content/10.1101/2022.07.26.501571.full,,8,never-fetched,fetched-content-unknown,1,ok,content-unknown,0.0000,0,no recorded content,false
58,2,6,https://www.ars.usda.gov/ARSUserFiles/50620500/Publications/HCK/horizon.pdf,,9,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,2,7,https://prizedwriting.ucdavis.edu/horizontal-gene-transfer-between-host-eukaryotes-and-their-bacterial-endosymbionts-analyses-and,,10,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,2,10,https://learn.genetics.utah.edu/content/microbiome/resistance,,11,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,2,12,https://www.sciencedirect.com/science/article/pii/S1876034121003403,,12,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,2,13,https://pmc.ncbi.nlm.nih.gov/articles/PMC3623377,,13,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,2,16,https://www.biorxiv.org/content/10.1101/2022.07.26.501571.full,,14,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,2,19,https://pmc.ncbi.nlm.nih.gov/articles/PMC4033532,,15,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,2,24,https://www.researchgate.net/figure/Distribution-of-HGT-events-across-the-different-eukaryotic-superkingdoms-Distribution-of_fig2_311779001,,16,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,2,18,https://en.wikipedia.org/wiki/Horizontal_gene_transfer,,17,dedup-refused,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,2,15,https://en.wikipedia.org/wiki/Category:Eukaryotes,,18,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,2,25,https://en.wikipedia.org/wiki/Wikipedia:Contents/Categories,,19,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,2,21,https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/bacterial-virulence,,20,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,2,14,https://en.wikipedia.org/wiki/Eukaryote,,21,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
58,2,23,https://www.britannica.com/science/eukaryote,,22,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
59,1,3,https://news.cals.wisc.edu/2012/10/30/how-birds-find-their-way,,1,fetched,admit,1,ok,admit,0.6316,503,,false
59,1,4,https://www.sciencedirect.com/science/article/pii/S1574954125002274,,2,failed,fetch-failed,1,http-status,n/a,0.0000,0,fetch https://www.sciencedirect.com/science/article/pii/S1574954125002274: Execution error: HTTP 403 Forbidden for https://www.sciencedirect.com/science/article/pii/S1574954125002274,false
59,1,2,https://www.scientificamerican.com/article/how-migrating-birds-use-quantum-effects-to-navigate,,3,fetched,admit,1,ok,admit,0.4211,908,,false
59,1,1,https://en.wikipedia.org/wiki/Bird_migration,,4,fetched,admit,1,ok,admit,0.4737,906,,false
59,1,9,https://www.sciencealert.com/variations-in-earth-s-magnetic-field-serve-as-stop-signs-for-migratory-birds,,5,never-fetched,fetched-content-unknown,1,ok,content-unknown,0.0000,0,no recorded content,false
59,1,28,https://spacedaily.com/t-migrating-birds-see-magnetic-field-cryptochrome-quantum-compass,,6,never-fetched,fetched-content-unknown,1,ok,content-unknown,0.0000,0,no recorded content,false
59,1,60,https://www.researchgate.net/publication/320205130_Disruption_of_Magnetic_Compass_Orientation_in_Migratory_Birds_by_Radiofrequency_Electromagnetic_Fields,,7,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
59,1,20,https://pmc.ncbi.nlm.nih.gov/articles/PMC2843996,,8,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
59,1,8,https://www.newscientist.com/article/2455948-migratory-birds-can-use-earths-magnetic-field-like-a-gps,,9,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
59,1,24,https://www.researchgate.net/publication/250932623_Outdoor_Experiments_with_Migrating_European_Robins_in_Artificial_Magnetic_Fields,,10,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
59,1,49,https://ace-eco.org/vol19/iss2/art13,,11,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
59,1,53,https://www.semanticscholar.org/paper/c67b43e491a39edef00e4a4cfbe4f21b79d72587,,12,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
59,1,5,https://pigeon.psy.tufts.edu/asc/Bingman/Default.htm,,13,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
59,1,30,https://www.frontiersin.org/journals/neural-circuits/articles/10.3389/fncir.2022.862279/full,,14,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
59,1,42,https://pmc.ncbi.nlm.nih.gov/articles/PMC6513191,,15,never-fetched,not-attempted-round-cap,0,round-cap,n/a,0.0000,0,,false
